Datetime,Open,High,Low,Close,Volume,OpenInterest
2023-01-01 00:00:00,1196.06,1196.51,1194.43,1194.47,75.23149501,0
2023-01-01 00:15:00,1194.43,1196.5,1194.22,1196.38,74.5910174,0
2023-01-01 00:30:00,1196.39,1196.39,1192.59,1193.68,247.37979824,0
2023-01-01 00:45:00,1193.55,1195.19,1193.55,1193.84,39.23891165,0
2023-01-01 01:00:00,1194.2,1195.75,1194.12,1195.56,25.2698166,0
2023-01-01 01:15:00,1195.46,1195.62,1194.93,1195.17,16.50426177,0
2023-01-01 01:30:00,1195.07,1195.52,1194.39,1194.5,113.15690998,0
2023-01-01 01:45:00,1194.89,1196.43,1194.83,1195.14,118.31521895,0
2023-01-01 02:00:00,1194.99,1195.29,1193.94,1194.96,93.36767159,0
2023-01-01 02:15:00,1195.0,1196.12,1194.85,1196.12,76.62118587,0
2023-01-01 02:30:00,1196.06,1196.6,1195.1,1195.36,103.9694645,0
2023-01-01 02:45:00,1195.37,1195.75,1194.62,1194.71,47.03344609,0
2023-01-01 03:00:00,1194.49,1194.49,1192.15,1192.94,173.19759978,0
2023-01-01 03:15:00,1192.96,1193.51,1191.72,1193.06,41.19647557,0
2023-01-01 03:30:00,1193.29,1194.11,1193.13,1193.93,61.41476237,0
2023-01-01 03:45:00,1193.96,1194.42,1193.72,1193.89,97.47894698,0
2023-01-01 04:00:00,1193.79,1193.87,1192.49,1192.6,224.15274118,0
2023-01-01 04:15:00,1192.6,1192.93,1190.76,1191.96,161.14006272,0
2023-01-01 04:30:00,1192.08,1192.94,1191.78,1192.1,248.42986217,0
2023-01-01 04:45:00,1192.19,1192.99,1191.99,1192.97,221.22535738,0
2023-01-01 05:00:00,1192.84,1193.45,1192.64,1193.16,64.14357771,0
2023-01-01 05:15:00,1193.37,1194.24,1193.0,1194.15,158.49195579,0
2023-01-01 05:30:00,1194.14,1194.27,1193.33,1194.05,441.27843948,0
2023-01-01 05:45:00,1194.01,1194.39,1193.84,1194.25,34.34055699,0
2023-01-01 06:00:00,1194.51,1195.21,1193.71,1194.38,67.58341115,0
2023-01-01 06:15:00,1194.38,1195.16,1194.14,1194.56,26.5001188,0
2023-01-01 06:30:00,1194.56,1194.56,1193.8,1194.37,12.14633218,0
2023-01-01 06:45:00,1194.27,1194.83,1194.18,1194.79,5.24275255,0
2023-01-01 07:00:00,1194.9,1194.99,1193.3,1194.04,47.25398884,0
2023-01-01 07:15:00,1193.88,1194.37,1193.0,1194.37,73.33676738,0
2023-01-01 07:30:00,1194.24,1195.11,1193.47,1195.09,36.4602839,0
2023-01-01 07:45:00,1194.99,1195.51,1194.64,1195.11,32.00816819,0
2023-01-01 08:00:00,1195.2,1196.13,1194.35,1194.37,68.76270653,0
2023-01-01 08:15:00,1194.36,1195.47,1194.23,1195.15,22.22674246,0
2023-01-01 08:30:00,1195.32,1195.57,1194.09,1194.09,28.72002978,0
2023-01-01 08:45:00,1194.43,1194.61,1193.91,1194.2,8.61225884,0
2023-01-01 09:00:00,1194.2,1194.72,1193.84,1194.72,20.65688356,0
2023-01-01 09:15:00,1194.7,1195.6,1194.7,1194.82,20.01870436,0
2023-01-01 09:30:00,1194.83,1196.03,1194.83,1196.03,10.14752611,0
2023-01-01 09:45:00,1195.98,1196.54,1195.52,1196.16,11.90530937,0
2023-01-01 10:00:00,1196.02,1196.32,1195.64,1196.14,5.03370054,0
2023-01-01 10:15:00,1196.21,1196.21,1195.95,1196.02,10.24188764,0
2023-01-01 10:30:00,1196.03,1196.04,1195.31,1195.97,37.50402569,0
2023-01-01 10:45:00,1196.02,1197.18,1195.92,1197.18,12.60617105,0
2023-01-01 11:00:00,1197.34,1197.54,1196.01,1196.01,18.13757294,0
2023-01-01 11:15:00,1195.91,1196.47,1195.91,1196.1,19.15224547,0
2023-01-01 11:30:00,1196.13,1196.52,1195.83,1195.89,12.85247926,0
2023-01-01 11:45:00,1195.83,1196.42,1195.75,1196.42,9.68957627,0
2023-01-01 12:00:00,1196.44,1197.52,1195.73,1197.14,82.95974619,0
2023-01-01 12:15:00,1197.4,1198.4,1196.64,1198.08,34.77242994,0
2023-01-01 12:30:00,1198.29,1198.29,1196.9,1197.51,41.30517756,0
2023-01-01 12:45:00,1197.37,1197.42,1197.08,1197.36,5.82849494,0
2023-01-01 13:00:00,1197.08,1197.41,1196.13,1196.29,43.16300804,0
